TIMESTAMP, CW_MIN, CW_MAX, N_OF_STATIONS, SEED, P_COLL, THR, FAILED_TRANSMISSIONS, SUCCEEDED_TRANSMISSIONS
1594200960.103189, 15, 1023, 1, 33, 0.0000, 29.0231296, 0, 24646
1594200991.225183, 15, 1023, 2, 33, 0.1098, 29.681408, 3110, 25205
1594201008.2752252, 15, 1023, 3, 33, 0.1760, 29.534208, 5358, 25080
1594201021.507175, 15, 1023, 4, 33, 0.2281, 29.1267584, 7308, 24734
1594201031.432756, 15, 1023, 5, 33, 0.2693, 28.7063552, 8985, 24377
1594201038.240629, 15, 1023, 6, 33, 0.3073, 28.215296, 10629, 23960
1594201045.507303, 15, 1023, 7, 33, 0.3352, 27.8208, 11910, 23625
1594201048.758933, 15, 1023, 8, 33, 0.3601, 27.4451456, 13115, 23306
1594201052.589643, 15, 1023, 9, 33, 0.3830, 27.0683136, 14266, 22986
1594201054.489224, 15, 1023, 10, 33, 0.4021, 26.7586048, 15284, 22723
1594201098.0359738, 15, 1023, 1, 66, 0.0000, 29.0419712, 0, 24662
1594201115.413507, 15, 1023, 2, 66, 0.1089, 29.687296, 3082, 25210
1594201130.055351, 15, 1023, 3, 66, 0.1739, 29.5801344, 5288, 25119
1594201139.889312, 15, 1023, 4, 66, 0.2288, 29.1302912, 7338, 24737
1594201149.3912818, 15, 1023, 5, 66, 0.2726, 28.6404096, 9116, 24321
1594201159.5767748, 15, 1023, 6, 66, 0.3067, 28.197632, 10592, 23945
1594201163.6167948, 15, 1023, 7, 66, 0.3306, 27.9303168, 11714, 23718
1594201168.7029219, 15, 1023, 8, 66, 0.3570, 27.5240448, 12978, 23373
1594201172.6564748, 15, 1023, 9, 66, 0.3822, 27.0942208, 14235, 23008
1594201173.985881, 15, 1023, 10, 66, 0.4014, 26.7798016, 15249, 22741
1594201216.124057, 15, 1023, 1, 99, 0.0000, 29.045504, 0, 24665
1594201237.26254, 15, 1023, 2, 99, 0.1096, 29.6978944, 3104, 25219
1594201251.081504, 15, 1023, 3, 99, 0.1829, 29.4070272, 5588, 24972
1594201259.680685, 15, 1023, 4, 99, 0.2275, 29.1314688, 7287, 24738
1594201271.408229, 15, 1023, 5, 99, 0.2716, 28.6592512, 9073, 24337
1594201277.193365, 15, 1023, 6, 99, 0.3040, 28.2706432, 10487, 24007
1594201284.140001, 15, 1023, 7, 99, 0.3345, 27.8372864, 11883, 23639
1594201288.961461, 15, 1023, 8, 99, 0.3600, 27.43808, 13109, 23300
1594201292.293122, 15, 1023, 9, 99, 0.3831, 27.0718464, 14276, 22989
1594201293.353895, 15, 1023, 10, 99, 0.4057, 26.6679296, 15457, 22646
1594201334.01119, 15, 1023, 1, 132, 0.0000, 29.045504, 0, 24665
1594201357.3806772, 15, 1023, 2, 132, 0.1094, 29.6849408, 3098, 25208
1594201371.3826728, 15, 1023, 3, 132, 0.1787, 29.5071232, 5451, 25057
1594201380.824594, 15, 1023, 4, 132, 0.2277, 29.1491328, 7300, 24753
1594201389.327761, 15, 1023, 5, 132, 0.2722, 28.6145024, 9087, 24299
1594201397.769593, 15, 1023, 6, 132, 0.3074, 28.2070528, 10632, 23953
1594201405.113878, 15, 1023, 7, 132, 0.3310, 27.9691776, 11753, 23751
1594201408.763191, 15, 1023, 8, 132, 0.3594, 27.4592768, 13081, 23318
1594201411.40531, 15, 1023, 9, 132, 0.3834, 27.0765568, 14295, 22993
1594201412.9684129, 15, 1023, 10, 132, 0.4030, 26.7115008, 15312, 22683
1594201456.059828, 15, 1023, 1, 165, 0.0000, 29.0431488, 0, 24663
1594201476.713505, 15, 1023, 2, 165, 0.1076, 29.7355776, 3044, 25251
1594201489.17425, 15, 1023, 3, 165, 0.1803, 29.4717952, 5506, 25027
1594201502.09287, 15, 1023, 4, 165, 0.2277, 29.1561984, 7301, 24759
1594201512.534621, 15, 1023, 5, 165, 0.2697, 28.7122432, 9006, 24382
1594201520.6748302, 15, 1023, 6, 165, 0.3054, 28.244736, 10547, 23985
1594201523.646293, 15, 1023, 7, 165, 0.3346, 27.8431744, 11888, 23644
1594201530.086315, 15, 1023, 8, 165, 0.3591, 27.4710528, 13068, 23328
1594201532.9741068, 15, 1023, 9, 165, 0.3835, 27.0647808, 14296, 22983
1594201534.543085, 15, 1023, 10, 165, 0.4043, 26.6797056, 15378, 22656
1594201576.256089, 15, 1023, 1, 198, 0.0000, 29.0537472, 0, 24672
1594201597.303652, 15, 1023, 2, 198, 0.1110, 29.669632, 3146, 25195
1594201614.854541, 15, 1023, 3, 198, 0.1776, 29.52832, 5415, 25075
1594201625.154687, 15, 1023, 4, 198, 0.2304, 29.0949632, 7397, 24707
1594201637.9122791, 15, 1023, 5, 198, 0.2712, 28.6674944, 9058, 24344
1594201647.205725, 15, 1023, 6, 198, 0.2998, 28.3778048, 10316, 24098
1594201655.152451, 15, 1023, 7, 198, 0.3348, 27.8584832, 11908, 23657
1594201667.144605, 15, 1023, 8, 198, 0.3602, 27.4522112, 13125, 23312
1594201670.7833338, 15, 1023, 9, 198, 0.3837, 27.073024, 14316, 22990
1594201672.2784698, 15, 1023, 10, 198, 0.4027, 26.7385856, 15310, 22706
1594201724.388758, 15, 1023, 1, 231, 0.0000, 29.0667008, 0, 24683
1594201752.1632981, 15, 1023, 2, 231, 0.1086, 29.7202688, 3076, 25238
1594201765.5738509, 15, 1023, 3, 231, 0.1805, 29.4482432, 5509, 25007
1594201775.126107, 15, 1023, 4, 231, 0.2256, 29.180928, 7220, 24780
1594201784.1860108, 15, 1023, 5, 231, 0.2704, 28.692224, 9029, 24365
1594201793.945441, 15, 1023, 6, 231, 0.3028, 28.2894848, 10432, 24023
1594201802.0233011, 15, 1023, 7, 231, 0.3348, 27.844352, 11903, 23645
1594201805.289069, 15, 1023, 8, 231, 0.3597, 27.4522112, 13096, 23312
1594201809.077665, 15, 1023, 9, 231, 0.3814, 27.1236608, 14199, 23033
1594201811.523354, 15, 1023, 10, 231, 0.4013, 26.7915776, 15252, 22751
1594201859.801503, 15, 1023, 1, 264, 0.0000, 29.0490368, 0, 24668
1594201881.118237, 15, 1023, 2, 264, 0.1092, 29.7120256, 3092, 25231
1594201895.4134169, 15, 1023, 3, 264, 0.1773, 29.5024128, 5399, 25053
1594201909.1834319, 15, 1023, 4, 264, 0.2301, 29.0902528, 7385, 24703
1594201916.945312, 15, 1023, 5, 264, 0.2719, 28.6557184, 9089, 24334
1594201926.252754, 15, 1023, 6, 264, 0.3042, 28.250624, 10486, 23990
1594201932.368646, 15, 1023, 7, 264, 0.3374, 27.7807616, 12012, 23591
1594201938.514741, 15, 1023, 8, 264, 0.3568, 27.5252224, 12964, 23374
1594201941.392192, 15, 1023, 9, 264, 0.3842, 27.0718464, 14344, 22989
1594201943.3724532, 15, 1023, 10, 264, 0.4029, 26.737408, 15320, 22705
1594201990.294323, 15, 1023, 1, 297, 0.0000, 29.039616, 0, 24660
1594202013.503325, 15, 1023, 2, 297, 0.1114, 29.6684544, 3160, 25194
1594202026.751301, 15, 1023, 3, 297, 0.1786, 29.487104, 5443, 25040
1594202039.555027, 15, 1023, 4, 297, 0.2291, 29.1055616, 7346, 24716
1594202049.454704, 15, 1023, 5, 297, 0.2702, 28.7110656, 9025, 24381
1594202056.734272, 15, 1023, 6, 297, 0.3036, 28.2765312, 10466, 24012
1594202067.8729632, 15, 1023, 7, 297, 0.3357, 27.7996032, 11927, 23607
1594202073.8693252, 15, 1023, 8, 297, 0.3593, 27.4663424, 13080, 23324
1594202076.8995788, 15, 1023, 9, 297, 0.3799, 27.1601664, 14128, 23064
1594202078.577761, 15, 1023, 10, 297, 0.4024, 26.7220992, 15282, 22692
1594202128.0281951, 15, 1023, 1, 330, 0.0000, 29.0490368, 0, 24668
1594202160.478467, 15, 1023, 2, 330, 0.1106, 29.6660992, 3134, 25192
1594202187.8144078, 15, 1023, 3, 330, 0.1771, 29.5212544, 5394, 25069
1594202208.747572, 15, 1023, 4, 330, 0.2252, 29.2068352, 7210, 24802
1594202220.76283, 15, 1023, 5, 330, 0.2689, 28.7251968, 8972, 24393
1594202235.9858298, 15, 1023, 6, 330, 0.3043, 28.268288, 10500, 24005
1594202243.045428, 15, 1023, 7, 330, 0.3367, 27.779584, 11977, 23590
1594202248.593396, 15, 1023, 8, 330, 0.3599, 27.4639872, 13115, 23322
1594202251.761923, 15, 1023, 9, 330, 0.3795, 27.167232, 14110, 23070
1594202254.3534641, 15, 1023, 10, 330, 0.4053, 26.6655744, 15434, 22644
