PAYLOAD,THR
100,4.60443
200,8.47793
300,11.4856
400,13.9642
500,16.3462
600,18.1412
700,19.6726
800,21.023
900,22.4851
1000,23.4705
1100,24.3691
1200,25.4971
1300,26.3953
1400,26.9846
1500,27.4956
1600,28.4132
1700,28.847
1800,29.3528
1900,29.9232
2000,30.291
100,4.61427
200,8.48788
300,11.4719
400,13.9917
500,16.3189
600,18.1211
700,19.6686
800,20.9618
900,22.4918
1000,23.56
1100,24.577
1200,25.5762
1300,26.3764
1400,26.8594
1500,27.5702
1600,28.2989
1700,28.9572
1800,29.3018
1900,29.9328
2000,30.3238
100,4.61256
200,8.49554
300,11.5286
400,13.9437
500,16.3466
600,18.1717
700,19.7974
800,20.9631
900,22.5691
1000,23.5694
1100,24.4072
1200,25.6376
1300,26.2799
1400,27.0354
1500,27.4413
1600,28.4194
1700,28.7707
1800,27.6848
1900,29.9748
2000,30.2747
100,4.58675
200,7.85549
300,11.4847
400,13.9467
500,16.3806
600,16.5941
700,19.7356
800,20.9933
900,20.0445
1000,23.55
1100,20.3968
1200,21.483
1300,26.2464
1400,27.0081
1500,27.5366
1600,28.3841
1700,28.7949
1800,27.7579
1900,30.0544
2000,30.4676
100,4.62362
200,8.51024
300,11.4854
400,13.9486
500,16.3439
600,18.2085
700,19.727
800,21.0045
900,22.4843
1000,23.5033
1100,24.3583
1200,25.5673
1300,26.4932
1400,26.8126
1600,28.3577
1700,29.1887
1800,27.8866
1900,30.1128
2000,30.4312